Audio out: sound file midi_dynamics_tb_audio.snd opened for output.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 118, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 119, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 120, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 121, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 122, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 123, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 124, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 125, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 126, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 127, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 128, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 127, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 126, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 125, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 124, note  1, sust_time  4500, sust_var  3100
[18720045] Audio out: generated 1 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 123, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 122, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 121, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 120, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 119, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 118, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 117, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 116, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 115, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 114, note  1, sust_time  4500, sust_var  3100
[37440045] Audio out: generated 2 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 113, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 112, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 111, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 110, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 109, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 108, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 107, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 106, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 105, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 104, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 103, note  1, sust_time  4500, sust_var  3100
[56160045] Audio out: generated 3 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 102, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 101, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 100, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  99, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  98, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  97, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  96, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  95, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  94, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  93, note  1, sust_time  4500, sust_var  3100
[74880045] Audio out: generated 4 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  92, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  91, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  90, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  89, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  88, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  87, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  86, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  85, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  84, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  83, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  82, note  1, sust_time  4500, sust_var  3100
[93600045] Audio out: generated 5 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  81, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  80, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  79, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  78, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  77, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  76, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  75, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  74, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  73, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  72, note  1, sust_time  4500, sust_var  3100
[112320045] Audio out: generated 6 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  71, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  70, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  69, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  68, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  67, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  66, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  65, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  64, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  63, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  62, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  61, note  1, sust_time  4500, sust_var  3100
[131040045] Audio out: generated 7 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  60, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  59, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  58, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  57, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  56, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  55, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  54, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  53, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  52, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  51, note  1, sust_time  4500, sust_var  3100
[149760045] Audio out: generated 8 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  50, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  49, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  48, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  47, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  46, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  45, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  44, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  43, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  42, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  41, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  40, note  1, sust_time  4500, sust_var  3100
[168480045] Audio out: generated 9 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  39, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  38, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  37, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  36, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  35, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  34, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  33, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  32, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  31, note  1, sust_time  4500, sust_var  3100
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  30, note  1, sust_time  4500, sust_var  3100
[187200045] Audio out: generated 10 seconds.
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  29, note  1, sust_time  4500, sust_var  3100
