update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 107, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 106, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 105, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 104, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 103, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 102, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 101, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 100, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  99, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  98, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  97, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  96, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  95, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  94, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  93, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  92, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  91, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  90, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  89, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  88, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  87, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  86, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  85, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  84, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  83, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  82, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  81, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  80, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  79, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  78, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  77, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  76, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  75, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  74, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  73, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  72, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  71, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  70, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  69, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  68, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  67, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  66, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  65, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  64, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  63, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  62, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  61, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  60, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  59, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  58, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  57, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  56, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  55, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  54, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  53, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  52, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  51, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  50, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  49, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  48, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  47, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  46, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  45, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  44, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  43, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  42, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  41, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  40, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  39, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  38, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  37, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  36, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  35, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  34, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  33, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  32, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  31, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  30, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  29, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  28, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  27, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  26, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  25, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  24, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  23, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  22, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  21, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  20, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  19, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  18, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  17, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  16, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  15, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  14, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  13, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  12, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  11, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  10, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   9, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   8, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   7, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   6, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   5, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   4, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   3, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   2, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   1, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain   0, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 001d, control_val 0040, on 1, gain   0, note  1, vel 7f, decay_type 1
update 1, update_all 0, note_val 001d, control_val 0040, on 1, gain   0, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 001d, control_val 0040, on 1, gain   0, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 001d, control_val 0040, on 0, gain   0, note  1, vel 7f, decay_type 1
update 0, update_all 0, note_val 001d, control_val 0040, on 0, gain   0, note  0, vel 00, decay_type 1
update 1, update_all 0, note_val 405b, control_val 0040, on 0, gain   0, note  0, vel 00, decay_type 1
update 1, update_all 0, note_val 405b, control_val 0040, on 1, gain   0, note 63, vel 40, decay_type 0
update 0, update_all 0, note_val 405b, control_val 0040, on 1, gain   0, note 63, vel 40, decay_type 0
update 0, update_all 0, note_val 405b, control_val 0040, on 1, gain   1, note 63, vel 40, decay_type 0
